work_year,employee_residence,salary,salary_in_usd,remote_ratio
2020,Austria,72500.0,82683.5,25.0
2020,Canada,157000.0,117104.0,50.0
2020,China,299000.0,43331.0,0.0
2020,Croatia,40000.0,45618.0,100.0
2020,Denmark,300000.0,45896.0,50.0
2020,France,45750.0,52176.333333333336,33.333333333333336
2020,Germany,60699.833333333336,69226.16666666667,58.333333333333336
2020,Greece,51000.0,58163.5,75.0
2020,Honduras,20000.0,20000.0,0.0
2020,Hungary,11000000.0,35735.0,50.0
2020,India,1080750.0,14583.0,37.5
2020,Italy,19000.0,21669.0,50.0
2020,Japan,2355000.0,150844.5,50.0
2020,Mexico,720000.0,33511.0,0.0
2020,Netherlands,42000.0,42000.0,50.0
2020,New Zealand,125000.0,125000.0,50.0
2020,Nigeria,10000.0,10000.0,100.0
2020,Pakistan,28000.0,31371.0,75.0
2020,Philippines,45760.0,45760.0,100.0
2020,Poland,100000.0,114047.0,100.0
2020,Portugal,50000.0,53090.0,50.0
2020,Russian Federation,60000.0,60000.0,100.0
2020,Spain,78266.66666666667,83136.33333333333,83.33333333333333
2020,United Arab Emirates,115000.0,115000.0,0.0
2020,United Kingdom of Great Britain and Northern Ireland,77666.66666666667,99618.0,66.66666666666667
2020,United States of America,157462.0,157462.0,86.0
2021,Belgium,72500.0,85699.0,75.0
2021,Brazil,73520.0,45561.6,60.0
2021,Bulgaria,80000.0,80000.0,100.0
2021,Canada,127222.22222222222,101475.33333333333,83.33333333333333
2021,Chile,30400000.0,40038.0,100.0
2021,Colombia,21844.0,21844.0,50.0
2021,Czechia,69999.0,69999.0,50.0
2021,Denmark,180000.0,28609.0,50.0
2021,France,49302.22222222222,57266.11111111111,61.111111111111114
2021,Germany,74970.0,88618.375,56.25
2021,Greece,54500.0,64421.5,100.0
2021,Hong Kong,48000.0,66022.0,50.0
2021,Hungary,11000000.0,36259.0,50.0
2021,India,1922952.238095238,33990.47619047619,61.904761904761905
2021,Iran (Islamic Republic of),4000.0,4000.0,100.0
2021,Iraq,100000.0,100000.0,50.0
2021,Italy,64400.0,74910.33333333333,50.0
2021,Japan,3935500.0,95768.75,37.5
2021,Jersey,100000.0,100000.0,0.0
2021,Kenya,9272.0,9272.0,100.0
2021,Luxembourg,50000.0,59102.0,100.0
2021,Malta,24000.0,28369.0,50.0
2021,Mexico,58000.0,2859.0,0.0
2021,"Moldova, Republic of",18000.0,18000.0,0.0
2021,Netherlands,60800.0,66710.66666666667,100.0
2021,Nigeria,50000.0,50000.0,100.0
2021,Pakistan,12000.0,12000.0,75.0
2021,Poland,145000.0,37536.5,100.0
2021,Portugal,51400.0,60757.0,50.0
2021,Puerto Rico,160000.0,160000.0,50.0
2021,Romania,43500.0,51419.0,25.0
2021,Russian Federation,157500.0,157500.0,25.0
2021,Serbia,21600.0,25532.0,100.0
2021,Singapore,140000.0,104176.5,75.0
2021,Slovenia,54000.0,63831.0,75.0
2021,Spain,39226.666666666664,42878.333333333336,83.33333333333333
2021,Turkey,179333.33333333334,20096.666666666668,50.0
2021,Ukraine,13400.0,13400.0,100.0
2021,United Kingdom of Great Britain and Northern Ireland,63029.666666666664,83420.5,58.333333333333336
2021,United States of America,155562.3563218391,155562.3563218391,77.01149425287356
2021,Viet Nam,30800.0,30800.0,66.66666666666667
2022,Algeria,100000.0,100000.0,50.0
2022,Argentina,60000.0,60000.0,100.0
2022,Australia,130333.33333333333,108042.66666666667,83.33333333333333
2022,Austria,59000.0,64849.0,0.0
2022,Bolivia (Plurinational State of),75000.0,75000.0,100.0
2022,Brazil,100000.0,100000.0,100.0
2022,Canada,103378.94736842105,93952.21052631579,73.6842105263158
2022,Estonia,30000.0,32974.0,100.0
2022,France,75666.66666666667,83168.66666666667,83.33333333333333
2022,Germany,92666.66666666667,101854.33333333333,50.0
2022,Greece,49444.444444444445,54126.22222222222,77.77777777777777
2022,India,2280000.0,69507.6,90.0
2022,Ireland,65000.0,71444.0,100.0
2022,Japan,40000.0,40000.0,100.0
2022,Malaysia,200000.0,200000.0,100.0
2022,Netherlands,57000.0,62651.0,100.0
2022,Pakistan,36400.0,39017.5,50.0
2022,Poland,150000.0,35590.0,100.0
2022,Portugal,27666.666666666668,30079.333333333332,83.33333333333333
2022,Russian Federation,48000.0,48000.0,100.0
2022,Spain,54166.666666666664,59537.0,100.0
2022,Switzerland,115000.0,122346.0,0.0
2022,Tunisia,29000.0,31875.0,100.0
2022,United Arab Emirates,92500.0,92500.0,100.0
2022,United Kingdom of Great Britain and Northern Ireland,60120.68965517241,78684.10344827586,37.93103448275862
2022,United States of America,146657.8909090909,145736.23636363636,76.36363636363636
