,work_year,employee_residence,salary,salary_in_usd,remote_ratio
7,2020,Greece,51000.0,58163.5,75.0
10,2020,India,1080750.0,14583.0,37.5
14,2020,Netherlands,42000.0,42000.0,50.0
17,2020,Pakistan,28000.0,31371.0,75.0
20,2020,Portugal,50000.0,53090.0,50.0
36,2021,Greece,54500.0,64421.5,100.0
39,2021,India,1922952.238095238,33990.47619047619,61.90476190476191
50,2021,Netherlands,60800.0,66710.66666666667,100.0
52,2021,Pakistan,12000.0,12000.0,75.0
54,2021,Portugal,51400.0,60757.0,50.0
77,2022,Greece,49444.444444444445,54126.22222222222,77.77777777777777
78,2022,India,2280000.0,69507.6,90.0
82,2022,Netherlands,57000.0,62651.0,100.0
83,2022,Pakistan,36400.0,39017.5,50.0
85,2022,Portugal,27666.666666666668,30079.33333333333,83.33333333333333
